景区名称,聚类标签,平均情感得分,主要类型,平均经度,平均纬度,评价记录数
七桥瓮生态湿地公园,3,3.2,公园,118.83522229999998,32.00853517,5
万景园,3,7.0,公园,118.7134287,32.04008122,1
三桥湿地公园,3,3.2,公园,118.64656929999998,31.96192179,5
上庄园,5,4.695652173913044,风景区,118.71879180869566,31.80413304130435,23
下关火车主题园,3,2.3333333333333335,公园,118.7383014,32.10541767,6
东山公园,3,-4.0,公园,118.8340815,31.95776737,1
中共代表团梅园新村纪念馆,1,4.0,文物古迹,118.7964966,32.04458922,2
中华门,1,4.583333333333333,文物古迹,118.77661375833333,32.01464352166666,12
中国南京云锦博物馆,2,7.2,博物馆,118.7396053,32.03844611,5
中央体育场旧址,1,-5.0,文物古迹,118.8636562,32.04556466,1
中山陵园风景区,5,2.6915544675642593,风景区,118.8487900274174,32.057535208139534,817
临时政府参议院旧址,1,2.3076923076923075,文物古迹,118.77461059999999,32.07136852,13
乌衣巷,5,0.0,风景区,118.7844736,32.02068796,3
乌龙潭公园,3,-4.0,公园,118.7613905,32.0481894,3
仙鹤门公园,3,0.5,公园,118.90131405,32.090698955,2
佛手湖郊野公园,3,2.0,公园,118.65184546,32.110180956,5
侯冲风景区,5,9.0,风景区,118.5318859,32.14200315,1
侵华日军南京大屠杀遇难同胞纪念馆,1,-2.7586206896551726,文物古迹,118.737348,32.03736319,29
傅抱石纪念馆,1,0.0,文物古迹,118.7630457,32.05709423,1
六朝博物馆,2,3.8333333333333335,博物馆,118.79407389333332,32.04442786533333,30
凤凰山公园,3,-4.0,公园,118.8376229,32.3506545,1
励志社旧址,1,0.3333333333333333,文物古迹,118.80703390000001,32.04291488,3
午朝门公园,3,3.5,公园,118.81248873333334,32.04053341333333,6
南京中国绿化博览园,4,4.166666666666667,休闲娱乐类,118.70555682499999,32.02421244416667,12
南京中国近代史遗址博物馆,2,1.744186046511628,博物馆,118.79221010348837,32.046266769186055,86
南京中山植物园,4,4.267857142857143,休闲娱乐类,118.82901403928572,32.05501922446429,56
南京北站(旧址),5,3.6666666666666665,风景区,118.71508130000001,32.09867279666667,15
南京博物院,2,2.9134615384615383,博物馆,118.82051878774038,32.04349591060096,416
南京古猿人洞景区,5,5.333333333333333,风景区,119.04419159999999,32.056874916666665,3
南京古生物博物馆,2,1.4,博物馆,118.7900195,32.06166381,5
南京地质博物馆,2,1.1428571428571428,博物馆,118.8019671,32.04694971,7
南京大吉植物园,4,0.0,休闲娱乐类,118.5339157,32.10086399,1
南京奥林匹克博物馆,2,-4.0,博物馆,118.7002535,31.99440217,1
南京市仙林湖公园,3,4.6,公园,118.98261640000001,32.12905514,5
南京市无想山景区,0,2.3076923076923075,风景区,119.03071194615384,31.5891794,13
南京幕燕滨江风貌区,5,1.5714285714285714,风景区,118.809574,32.14833305,7
南京平山森林公园,3,0.5,公园,118.8327233,32.453428,2
南京河西城市生态公园,3,5.25,公园,118.69516845000001,31.977071464999998,4
南京石柱林风景区,5,0.0,风景区,118.9307763,32.46309199,1
南京雨发生态旅游区,5,0.0,风景区,118.5302064,32.03572572,1
南京青奥体育公园,3,4.72972972972973,公园,118.65895523783783,32.04963794693694,111
南唐二陵,1,-2.0,文物古迹,118.7333335,31.88984127,2
南湖公园,3,5.333333333333333,公园,118.75733186666668,32.03024119333333,3
古惠济寺,1,4.416666666666667,文物古迹,118.50867153333333,32.09906726,12
古林公园·南京艺术学院古林园区,3,3.0,公园,118.7479135,32.06955933,3
古鸡鸣寺,1,3.3941176470588235,文物古迹,118.79002744058823,32.0630427267647,170
固城湖国家城市湿地公园,0,-6.0,公园,118.9036619,31.32656072,1
国家水利风景区,5,2.3,风景区,118.76374647,32.018219325000004,10
国民政府旧址(中山北路),1,4.0,文物古迹,118.7732495,32.06681512,2
大报恩寺遗址景区,1,1.4615384615384615,文物古迹,118.77845266923076,32.01106863820513,39
大桥公园,3,3.0869565217391304,公园,118.7457702,32.11156937,46
大金山风景区,0,1.0,风景区,119.11312153333331,31.695680986666662,3
天生桥景区,0,4.8,风景区,118.98550989999998,31.64855682,5
太子山公园(园东路),3,9.0,公园,118.7506598,32.2211469,1
夫子庙,1,2.168181818181818,文物古迹,118.78412320272727,32.02216515440909,220
孢子植物园,4,4.346153846153846,休闲娱乐类,118.82124315,32.05437591692308,26
将军山,5,-0.8181818181818182,风景区,118.76254347272726,31.927145332727275,11
小桃园,3,-0.5,公园,118.7413771,32.08828949,2
愚园,1,4.733333333333333,文物古迹,118.7686992,32.01869805,15
方山风景区,5,3.3666666666666667,风景区,118.87054404666667,31.89933656033333,30
明孝陵景区,1,3.3055555555555554,文物古迹,118.83509636798941,32.05188111857143,756
明御河公园,3,8.0,公园,118.8097337,32.03092894,1
明故宫,1,0.2,文物古迹,118.8128109,32.04356042,5
晏公庙,1,2.0,文物古迹,118.85709859999999,32.037231633333334,3
月牙湖公园-南区,5,1.625,风景区,118.8200557,32.02657705,16
朝天宫景区,5,3.2083333333333335,风景区,118.77004712916666,32.03529581833333,24
杨柳村明清古建筑群,5,6.0,风景区,118.9214867,31.86014147,1
极乐寺,1,-6.0,文物古迹,118.6151892,32.08212952,1
栖霞山,5,1.9766355140186915,风景区,118.96105931962616,32.15740195602804,214
桥北滨江生态公园,3,6.571428571428571,公园,118.7291854,32.11510555,7
止马岭森林公园,3,4.0,公园,118.57763856923076,32.57093934461538,13
武定门公园,3,6.0,公园,118.7899882,32.01198172,1
毗卢寺,1,2.619718309859155,文物古迹,118.79819402816901,32.04471811084507,71
江南水师学堂遗迹,1,7.0,文物古迹,118.7461316,32.0885913,1
江南贡院,1,4.066666666666666,文物古迹,118.78559115333333,32.023174146,15
江宁(杨家圩)市民公园,3,7.0,公园,118.8282206,31.94306015,1
江宁织造博物馆,2,2.1666666666666665,博物馆,118.78905945000001,32.04443859333333,6
汤山矿坑公园,3,6.25,公园,119.0330189,32.04214452625,8
汤山风景区,5,6.333333333333333,风景区,119.02007656,32.07646761666667,15
河西CBD绿轴公园,3,7.0,公园,118.7208435,32.00011455,1
河西中央公园,3,2.6666666666666665,公园,118.7192261,31.99796689,3
泰山寺,1,0.0,文物古迹,118.704143,32.14513482,2
浦口公园,3,8.0,公园,118.7144914,32.10432393,1
海底世界,4,-0.6,休闲娱乐类,118.8396109,32.05543071,5
清凉山公园,3,3.1875,公园,118.75607754375,32.051191128125,16
渡江胜利纪念馆,1,4.5,文物古迹,118.7264102,32.07554212,4
溧水周园,0,0.0,风景区,119.1869619,31.63171888,1
溧水秦淮源公园,0,2.0,公园,119.0505936,31.6462437,2
濑渚洲公园,0,7.0,公园,118.8921935,31.31829638,2
灵岩禅寺,1,0.0,文物古迹,118.882782,32.30135202,1
灵谷塔,1,7.125,文物古迹,118.8620827,32.060546,8
灵谷寺,1,2.8378378378378377,文物古迹,118.86289787297298,32.05762814513513,37
牛首山文化旅游区,5,3.0207253886010363,风景区,118.73994566632125,31.914786286839377,193
狮子岭兜率寺,1,3.0,文物古迹,118.5466598,32.06310878,2
玄武湖公园,3,3.321199143468951,公园,118.79049331559828,32.07432063769231,468
珍珠泉旅游度假区,5,3.6,风景区,118.652861,32.12963334,10
琼花湖公园,3,5.4,公园,118.53470030000001,31.967928821999998,10
甘熙故居,1,4.666666666666667,文物古迹,118.77682922222223,32.02797743,9
白马公园,3,0.2,公园,118.81082701999999,32.062360586,5
白鹭洲公园,3,6.466666666666667,公园,118.78984968,32.01969383266667,15
百家湖摩天轮,4,-2.8,休闲娱乐类,118.81223459999998,31.93456936,5
瞻园,1,1.5789473684210527,文物古迹,118.7799868368421,32.0230817631579,19
石刻湖公园,3,-8.0,公园,118.5956491,31.8509099,1
石头城公园,3,3.3076923076923075,公园,118.74894484615385,32.053084066923084,13
石鼓路天主堂,1,7.333333333333333,文物古迹,118.77300806666666,32.04300425,3
神策门公园,3,0.0,公园,118.7822188,32.09097858,1
红山森林动物园,4,3.3021001615508885,休闲娱乐类,118.79590331227787,32.09413066182553,619
绣球公园,3,0.0,公园,118.740562,32.09144428,2
羊山公园,3,5.3076923076923075,公园,118.93672108461539,32.112488237692304,13
美龄宫,1,2.3134328358208953,文物古迹,118.84147009104478,32.04767864492537,67
翠屏山,5,0.0,风景区,118.7806774,31.93040534,1
老山国家森林公园,3,1.878787878787879,公园,118.5968852090909,32.097086292727276,33
老门东,1,3.4054054054054053,文物古迹,118.78250212594594,32.013693853945945,185
聚宝山公园,3,-3.5,公园,118.8710202,32.10232278,2
莉湖公园,3,7.0,公园,118.8350803,32.32230368,1
莫愁湖公园,3,2.727272727272727,公园,118.75532104545455,32.03830661,44
莲花湖公园,3,4.0,公园,118.6503023,31.90993941,4
菊花台公园,3,0.0,公园,118.7547323,31.99137319,1
萧景墓神道石刻,1,0.0,文物古迹,118.9032488,32.13506734,1
西安门遗址公园,3,1.5,公园,118.8001781,32.04180452,4
象山湖公园,3,5.8,公园,118.6171251,32.0890713,5
赏心亭,5,-6.0,风景区,118.7635537,32.03063682,1
郑和公园,3,6.0,公园,118.7890446,32.03360529,1
郑和宝船厂遗址公园,3,7.0,公园,118.728131,32.06313326,1
金牛湖,5,1.5,风景区,118.9635596,32.47229067,2
金粟庵,1,2.5,文物古迹,118.76621325,32.022545238333336,6
长江观音景区,5,2.037037037037037,风景区,118.78181087407408,32.12505887444444,27
阅江楼,5,1.2307692307692308,风景区,118.7427456,32.096070708571425,14
雨花台风景名胜区,5,1.1904761904761905,风景区,118.77578704285713,32.00042734476191,21
顾昊墓石刻,1,0.0,文物古迹,118.6586146,32.10683257,4
首都大戏院旧址博物馆,2,7.0,博物馆,118.7860738,32.02343176,1
高淳国际慢城,0,4.7,风景区,119.08570027,31.423331425000004,10
高淳老街历史文化景区,0,5.266666666666667,文物古迹,118.86319106666666,31.322136362,15
鱼嘴湿地公园,3,2.975,公园,118.65631611625001,31.974083829125,80
黄龙岘金陵茶文化旅游村,5,2.857142857142857,风景区,118.68402977142857,31.78197871,7
鼓楼公园,3,4.214285714285714,公园,118.77688627142857,32.06070050928572,14
龙尚湖,5,4.0,风景区,118.958199,32.01957283,7
龙王山风景区,5,1.8571428571428572,风景区,118.7035854,32.1938037,7
龟山公园,3,0.0,公园,118.899084,32.09350689,1
